input position,input joint,output joint
"(0.0, 0.0)","(-3.09, -3.09)","(-3.14, -3.14)"
"(0.0, 0.0)","(-3.06, -3.2)","(-3.14, -3.14)"
"(0.0, 0.0)","(-3.19, -3.21)","(-3.14, -3.14)"
"(0.0, 0.0)","(-3.05, -3.1)","(-3.14, -3.14)"
"(0.0, 0.0)","(-3.18, -3.06)","(-3.14, -3.14)"
"(0.0, 0.0)","(-3.09, -3.06)","(-3.14, -3.14)"
"(0.0, 0.0)","(-3.12, -3.2)","(-3.14, -3.14)"
"(0.0, 0.0)","(-3.19, -3.16)","(-3.14, -3.14)"
"(0.0, 0.0)","(-3.07, -3.07)","(-3.14, -3.14)"
"(0.0, 0.0)","(-3.14, -3.12)","(-3.14, -3.14)"
"(0.0, 0.0)","(-3.17, -3.17)","(-3.14, -3.14)"
"(0.0, 0.0)","(-3.11, -3.06)","(-3.14, -3.14)"
"(0.0, 0.0)","(-3.22, -3.05)","(-3.14, -3.14)"
"(0.0, 0.0)","(-3.12, -3.05)","(-3.14, -3.14)"
"(0.0, 0.0)","(-3.07, -3.12)","(-3.14, -3.14)"
"(0.0, 0.0)","(-3.05, -3.17)","(-3.14, -3.14)"
"(0.0, 0.0)","(-3.22, -3.24)","(-3.14, -3.14)"
"(0.0, 0.0)","(-3.2, -3.15)","(-3.14, -3.14)"
"(0.0, 0.0)","(-3.15, -3.19)","(-3.14, -3.14)"
"(0.0, 0.0)","(-3.2, -3.05)","(-3.14, -3.14)"
"(-0.05, 0.32)","(-3.11, -2.91)","(-3.14, -2.81)"
"(-0.05, 0.32)","(-3.09, -2.85)","(-3.14, -2.81)"
"(-0.05, 0.32)","(-3.14, -2.74)","(-3.14, -2.81)"
"(-0.05, 0.32)","(-3.22, -2.76)","(-3.14, -2.81)"
"(-0.05, 0.32)","(-3.13, -2.73)","(-3.14, -2.81)"
"(-0.05, 0.32)","(-3.14, -2.88)","(-3.14, -2.81)"
"(-0.05, 0.32)","(-3.1, -2.72)","(-3.14, -2.81)"
"(-0.05, 0.32)","(-3.08, -2.77)","(-3.14, -2.81)"
"(-0.05, 0.32)","(-3.2, -2.85)","(-3.14, -2.81)"
"(-0.05, 0.32)","(-3.13, -2.86)","(-3.14, -2.81)"
"(-0.05, 0.32)","(-3.12, -2.83)","(-3.14, -2.81)"
"(-0.05, 0.32)","(-3.23, -2.72)","(-3.14, -2.81)"
"(-0.05, 0.32)","(-3.21, -2.86)","(-3.14, -2.81)"
"(-0.05, 0.32)","(-3.09, -2.8)","(-3.14, -2.81)"
"(-0.05, 0.32)","(-3.13, -2.84)","(-3.14, -2.81)"
"(-0.05, 0.32)","(-3.2, -2.87)","(-3.14, -2.81)"
"(-0.05, 0.32)","(-3.17, -2.82)","(-3.14, -2.81)"
"(-0.05, 0.32)","(-3.09, -2.78)","(-3.14, -2.81)"
"(-0.05, 0.32)","(-3.2, -2.84)","(-3.14, -2.81)"
